Attrition;Age;Deplacements;Departement;DistanceDomicile;NiveauFormation;Genre;StatutMarital;AnnesDsEnt;AnneesPromo
Non;29;1;2;7;1;2;2;4;0
Non;44;1;2;9;2;1;3;8;7
Non;43;1;2;8;3;2;2;1;0
Oui;21;1;2;18;1;2;1;1;0
Non;36;1;2;14;1;1;3;16;4
Oui;22;1;2;3;1;2;3;3;0
Oui;41;1;2;2;4;2;2;7;1
Non;28;1;2;9;3;2;2;2;2
Oui;39;1;2;6;3;1;3;2;2
Non;27;1;2;4;3;2;1;1;0
Non;34;1;2;10;3;1;2;1;1
Non;33;1;2;1;4;1;1;3;0
Non;58;1;2;5;3;2;2;6;0
Non;35;1;2;21;1;2;3;10;0
Non;49;1;2;8;2;2;3;26;1
Non;48;1;2;20;4;1;3;0;0
Non;36;1;2;7;4;1;1;6;0
Non;38;1;2;1;3;2;3;15;5
Non;41;1;2;6;3;1;1;18;2
Non;36;1;2;2;4;1;1;11;3
Oui;20;1;2;4;3;1;1;1;0
Non;31;1;2;12;3;2;3;9;8
Non;32;1;2;3;4;2;3;8;6
Non;33;1;2;1;3;2;1;5;1
Non;52;1;2;1;2;1;3;9;7
Oui;58;1;2;2;3;1;1;1;0
Oui;29;1;2;10;3;2;1;0;0
Non;33;1;2;13;1;2;1;3;0
Non;45;1;2;1;4;2;2;5;0
Non;50;1;2;1;2;1;2;5;1
Non;27;1;2;16;4;2;3;2;2
Oui;30;1;2;22;3;2;3;5;0
Non;50;1;2;24;3;1;3;12;1
Non;46;1;2;7;2;1;2;8;0
Non;24;1;2;17;1;2;2;4;3
Oui;35;1;2;14;4;1;2;4;0
Non;54;1;2;17;3;2;3;10;0
Non;35;1;2;25;4;2;2;16;10
Non;30;1;2;8;2;2;3;8;1
Oui;20;1;2;11;3;2;1;1;0
Non;26;1;2;2;2;1;3;8;1
Non;22;1;2;8;1;1;3;4;1
Non;48;1;2;6;3;1;1;2;2
Non;48;1;2;4;4;1;1;15;4
Non;41;1;2;7;2;2;1;2;2
Non;39;1;2;1;1;2;3;21;11
Non;27;1;2;2;4;2;3;3;2
Non;35;1;2;10;3;1;2;3;1
Non;50;1;2;9;3;1;3;1;0
Non;59;1;2;2;3;2;1;5;4
Oui;37;1;2;11;2;2;3;1;0
Oui;36;1;2;16;4;2;1;17;15
Oui;36;1;2;15;3;1;2;1;0
Non;50;1;2;2;4;1;3;8;7
Non;37;1;2;3;3;2;1;4;0
Non;46;1;2;1;4;1;2;2;2
Non;36;1;2;12;5;2;1;14;7
Oui;21;1;2;10;3;2;1;1;1
Non;46;1;2;8;4;2;2;16;1
Oui;51;1;2;4;4;1;3;10;2
Non;26;1;2;1;2;1;3;5;1
Non;30;1;2;20;3;1;3;6;0
Non;41;1;2;7;2;2;3;10;0
Non;38;1;2;17;1;2;3;19;1
Non;40;1;2;20;4;1;3;11;11
Non;28;1;2;10;3;2;1;8;1
Non;33;1;2;5;3;1;2;3;1
Non;28;1;2;15;2;1;2;4;2
Oui;25;1;2;4;1;1;3;7;5
Oui;26;1;2;21;3;1;2;1;0
Oui;33;1;2;25;3;1;1;2;2
Non;42;1;2;2;2;1;3;22;13
Non;52;1;2;7;4;1;1;8;4
Non;29;1;2;28;4;2;2;7;1
Non;28;1;2;3;3;2;2;9;1
Non;40;1;2;14;3;1;1;20;4
Non;21;1;2;1;1;2;1;2;2
Non;28;1;2;2;1;1;3;5;0
Non;42;1;2;29;3;1;1;1;0
Non;29;1;2;8;1;1;3;10;1
Non;41;1;2;12;4;1;3;1;0
Non;37;1;2;25;2;2;2;6;1
Non;27;1;2;6;3;1;3;4;2
Non;35;1;2;1;4;1;3;8;1
Non;24;1;2;24;3;1;1;4;1
Oui;28;1;2;12;1;2;3;1;0
Non;26;1;2;3;4;1;3;8;0
Non;35;1;2;2;3;1;2;7;6
Non;56;1;2;4;4;2;2;5;4
Non;29;1;2;6;1;2;3;10;0
Non;19;1;2;9;2;1;1;1;0
Non;45;1;2;7;3;2;3;3;0
Non;37;1;2;1;3;2;3;14;3
Non;20;1;2;3;3;1;1;2;1
Oui;44;1;2;10;4;1;1;6;0
Non;53;1;2;7;2;2;2;7;4
Non;29;1;2;15;1;2;3;5;1
Non;28;1;2;19;4;1;3;6;3
Non;46;1;2;15;2;1;3;4;0
Oui;24;1;2;17;2;2;3;1;0
Non;36;1;2;6;4;1;2;7;1
Non;30;1;2;7;4;1;2;10;8
Non;44;1;2;29;4;1;1;20;13
Non;46;1;2;2;4;1;2;6;1
Non;36;1;2;1;3;2;2;7;7
Non;33;1;2;9;3;1;3;14;4
Non;30;1;2;1;3;1;3;11;5
Non;27;1;2;14;3;1;3;9;6
Non;44;1;2;2;1;2;3;10;7
Non;29;1;2;1;3;2;2;3;1
Non;54;1;2;3;3;1;3;10;0
Non;31;1;2;11;2;1;3;6;0
Non;31;1;2;24;3;2;1;10;1
Non;43;1;2;3;3;1;3;8;0
Non;49;1;2;4;2;1;3;1;0
Non;48;1;2;2;2;1;1;1;0
Non;27;1;2;4;2;1;2;5;0
Non;29;1;2;7;3;1;2;6;1
Non;48;1;2;1;3;1;1;1;0
Non;29;1;2;1;3;2;2;7;1
Non;34;1;2;20;3;2;3;1;0
Non;19;1;2;25;3;2;1;1;0
Non;23;1;2;1;2;1;3;1;0
Non;26;1;2;4;2;1;1;8;2
Non;59;1;2;18;4;1;1;9;5
Non;44;1;2;4;2;1;2;25;14
Non;35;1;2;6;1;1;3;3;2
Non;42;1;2;7;4;2;3;1;0
Non;36;1;2;2;4;2;1;16;5
Oui;44;1;2;15;3;2;3;10;0
Oui;29;1;2;7;3;2;2;7;7
Non;28;1;2;1;3;1;1;3;1
Non;25;1;2;1;3;2;1;2;2
Non;39;1;2;13;4;2;2;19;15
Non;58;1;2;23;4;1;2;2;2
Oui;32;1;2;7;2;1;3;10;1
Oui;39;1;2;23;3;1;1;5;0
Non;30;1;2;6;3;2;3;9;6
Non;36;1;2;10;4;2;3;7;1
Non;50;1;2;28;3;2;3;3;1
Non;30;1;2;17;4;2;3;9;0
Non;39;1;2;18;2;1;1;8;1
Oui;44;1;2;3;3;1;3;3;1
Non;55;1;2;2;2;2;3;19;9
Non;34;1;2;9;3;1;2;9;1
Non;40;1;2;2;3;1;1;9;8
Non;25;1;2;19;1;1;3;3;1
Oui;58;1;2;7;4;2;3;10;5
Non;40;1;2;1;4;1;3;4;0
Non;48;1;2;4;3;1;1;10;0
Non;51;1;2;11;2;2;1;5;0
Non;35;1;2;1;3;2;3;9;0
Non;56;1;2;23;3;1;3;19;15
Non;40;1;2;2;1;2;2;12;11
Non;34;1;2;29;3;1;3;8;7
Non;34;1;2;2;4;2;1;14;4
Oui;31;1;2;22;4;1;3;10;6
Non;37;1;2;4;1;1;3;6;1
Non;43;1;2;6;3;2;1;20;1
Oui;27;1;2;17;4;2;1;8;7
Non;26;1;2;2;1;1;1;4;1
Non;52;1;2;8;4;2;3;5;0
Non;37;1;2;11;3;2;1;3;0
Non;25;1;2;1;3;1;3;3;0
Non;26;1;2;7;3;1;1;7;0
Non;54;1;2;1;3;2;1;20;12
Non;58;1;2;1;3;2;3;9;1
Non;55;1;2;1;4;1;2;7;0
Non;31;1;2;8;5;2;1;3;1
Oui;31;1;2;8;3;2;1;1;0
Non;27;1;2;11;1;1;3;5;1
Non;36;1;2;4;4;1;1;10;1
Non;47;1;2;1;3;1;3;6;1
Non;56;1;2;1;2;2;3;3;1
Non;47;1;2;2;4;2;3;20;5
Non;34;1;2;1;3;2;3;5;0
Non;41;1;2;5;5;1;3;4;0
Non;45;1;2;20;3;1;2;7;0
Non;45;1;2;29;3;1;3;3;1
Non;53;1;2;2;3;1;1;9;8
Non;49;1;2;5;4;1;3;3;1
Non;40;1;2;2;3;1;2;3;1
Non;44;1;2;20;3;1;1;5;1
Non;57;1;2;1;2;1;3;12;2
Non;49;1;2;7;4;1;2;8;0
Non;55;1;2;4;4;1;3;3;1
Non;33;1;2;4;4;2;3;5;0
Non;28;1;2;1;3;1;2;1;0
Non;49;1;2;3;2;2;3;3;1
Non;28;1;2;29;1;1;3;8;1
Non;33;1;2;8;5;1;1;0;0
Non;32;1;2;10;3;1;1;5;0
Oui;29;1;2;1;4;1;1;9;0
Non;44;1;2;28;3;1;3;20;14
Non;39;1;2;6;3;2;1;2;2
Non;35;1;2;16;3;2;1;11;3
Non;23;1;2;20;1;1;1;4;1
Oui;40;1;2;9;4;1;1;5;1
Non;42;1;2;2;3;1;3;1;0
Non;37;1;2;13;3;1;3;10;3
Non;29;1;2;8;1;2;3;7;0
Non;33;1;2;25;3;1;1;5;0
Non;45;1;2;28;3;1;3;5;0
Non;33;1;2;28;4;1;3;15;5
Non;24;1;2;21;2;1;2;1;0
Non;45;1;2;1;4;1;2;10;7
Non;32;1;2;5;2;2;3;7;2
Non;29;1;2;9;3;1;3;1;0
Non;35;1;2;1;3;1;1;3;1
Oui;35;1;2;2;3;2;2;1;0
Oui;53;1;2;2;5;2;3;33;1
Oui;38;1;2;2;3;1;3;5;1
Non;48;1;2;15;4;2;3;8;7
Non;34;1;2;7;4;1;1;1;0
Non;34;1;2;1;4;1;3;2;2
Non;26;1;2;3;3;2;3;1;0
Non;29;1;2;3;1;1;1;10;1
Non;35;1;2;10;4;2;1;5;0
Non;23;1;2;10;3;1;3;2;2
Non;42;1;2;9;2;1;1;1;0
Non;35;1;2;28;3;1;3;10;6
Non;43;1;2;27;3;1;2;6;0
Non;35;1;2;7;2;1;3;1;0
Oui;28;1;2;24;3;1;3;1;0
Non;32;1;2;5;4;2;3;3;0
Non;44;1;2;7;3;2;2;22;1
Non;30;1;2;7;3;1;3;6;1
Non;45;1;2;5;5;2;1;10;1
Non;36;1;2;12;4;2;3;3;1
Non;49;1;2;25;4;2;3;9;1
Non;39;1;2;10;5;1;3;7;7
Non;27;1;2;19;3;1;2;7;0
Non;35;1;2;18;5;1;3;16;1
Non;28;1;2;27;3;2;2;5;0
Non;21;1;2;5;1;1;1;2;2
Non;39;1;2;3;2;1;2;10;0
Non;40;1;2;15;3;2;3;18;14
Non;37;1;2;19;3;1;3;4;0
Non;45;1;2;2;2;2;2;10;3
Non;38;1;2;2;2;2;3;5;0
Non;37;1;2;10;3;2;3;8;7
Non;40;1;2;16;3;2;1;4;3
Non;27;1;2;8;3;2;3;3;0
Oui;40;1;2;7;3;1;1;4;0
Non;36;1;2;5;4;2;3;3;0
Non;39;1;2;12;3;1;3;5;1
Non;49;1;2;22;4;2;3;4;1
Non;50;1;2;17;5;2;2;14;1
Non;34;1;2;3;3;2;2;11;7
Non;36;1;2;7;3;1;1;4;1
Non;49;1;2;6;1;2;3;15;2
Non;36;1;2;3;2;1;2;5;0
Non;54;1;2;22;5;2;3;10;4
Non;43;1;2;15;2;1;3;14;6
Non;32;1;2;2;3;1;2;9;1
Non;49;1;2;16;3;2;2;2;2
Non;49;1;2;1;3;1;1;8;0
Non;36;1;2;26;4;1;3;3;0
Oui;23;1;2;8;1;1;1;5;1
Non;38;1;2;4;2;2;3;0;0
Non;53;1;2;24;4;1;3;4;1
Oui;32;1;2;2;4;1;1;1;0
Non;55;1;2;22;3;1;2;4;1
Non;34;1;2;5;2;1;3;15;4
Non;60;1;2;1;4;1;2;1;0
Non;33;1;2;21;3;1;3;14;2
Non;34;1;2;19;3;2;3;10;8
Non;44;1;2;2;3;2;3;8;6
Non;24;1;2;9;3;1;3;5;0
Non;29;1;2;9;4;2;3;5;1
Non;26;1;2;17;4;1;3;3;0
Non;45;1;2;28;2;2;1;21;8
Non;31;1;2;2;4;1;3;5;0
Non;40;1;2;8;2;2;3;1;0
Non;24;1;2;29;1;1;2;6;1
Non;46;1;2;13;4;1;1;10;0
Non;35;1;2;27;4;1;3;7;0
Non;30;1;2;16;1;1;3;10;0
Non;23;1;2;4;1;2;1;3;1
Non;27;1;2;8;3;2;1;6;1
Non;34;1;2;2;4;1;3;5;1
Non;29;1;2;4;3;2;2;1;0
Non;30;1;2;16;3;1;3;7;1
Non;38;1;2;18;3;1;3;1;1
Non;42;1;2;12;3;1;2;5;0
Non;55;1;2;2;3;1;3;1;0
Non;41;1;2;9;4;1;2;5;0
Non;38;1;2;6;2;2;3;5;0
Oui;22;1;2;8;1;2;3;1;0
Non;51;1;2;3;3;2;3;2;2
Non;46;1;2;2;4;1;2;2;2
Non;36;1;2;10;3;1;3;12;5
Non;33;1;2;8;4;1;3;10;7
Non;28;1;2;1;3;1;3;5;0
Non;39;1;2;10;1;1;1;4;2
Non;40;1;2;2;2;2;3;4;0
Non;42;1;2;13;3;1;3;0;0
Oui;37;1;2;10;4;1;1;10;0
Non;41;1;2;5;3;1;1;3;1
Non;30;1;2;10;3;2;1;7;0
Oui;46;1;2;21;2;2;3;9;3
Non;40;1;2;1;3;2;2;5;0
Non;35;1;2;23;4;1;3;5;0
Non;47;1;2;4;3;2;2;22;14
Non;40;1;2;12;3;2;2;7;7
Non;54;1;2;7;4;2;3;7;1
Non;28;1;2;1;3;2;3;3;1
Non;36;1;2;2;4;2;3;1;0
Non;47;1;2;9;4;2;1;2;2
Non;46;1;2;2;2;1;2;9;4
Non;29;1;2;29;1;1;2;7;1
Non;42;1;2;8;3;1;1;0;0
Non;43;1;2;6;3;2;3;16;6
Non;48;1;2;10;3;1;3;22;12
Non;39;1;2;19;4;1;2;2;2
Non;55;1;2;2;4;1;3;5;0
Oui;22;1;2;7;1;1;1;1;0
Non;31;1;2;20;3;1;2;10;0
Non;29;1;2;7;3;1;1;3;1
Non;37;1;2;7;4;1;3;5;0
Non;35;1;2;16;2;2;3;3;0
Non;45;1;2;25;2;2;3;9;3
Non;40;1;2;1;4;1;2;19;11
Non;26;1;2;1;2;2;3;1;1
Non;44;1;2;1;4;1;3;2;2
Oui;56;1;2;24;2;1;1;4;1
Non;42;1;2;6;3;1;3;13;5
Non;31;1;2;4;3;2;2;2;2
Non;27;1;2;2;4;1;3;5;1
Non;39;1;2;9;2;1;3;10;7
Non;38;1;2;9;2;1;2;5;0
Non;26;1;2;1;3;1;1;7;7
Non;29;1;2;1;3;1;3;5;0
Oui;28;1;2;17;3;1;2;4;0
Non;32;1;2;5;4;1;1;1;0
Non;54;1;2;9;2;2;3;4;2
Non;43;1;2;11;3;1;3;10;0
Non;31;1;2;2;1;2;2;1;0
Non;54;1;2;10;3;2;1;5;1
Non;24;1;2;1;2;1;1;4;1
Non;23;1;2;12;2;1;1;5;1
Non;30;1;2;1;2;1;3;12;1
Non;25;1;2;2;1;1;2;2;0
Non;47;1;2;25;3;1;1;17;12
Non;42;1;2;18;4;1;2;4;1
Non;41;1;2;1;3;1;3;5;1
Non;35;1;2;11;4;1;3;2;2
Non;22;1;2;1;2;1;1;3;1
Non;35;1;2;9;4;1;1;10;0
Non;33;1;2;15;2;2;3;9;8
Non;32;1;2;29;4;2;1;6;4
Non;40;1;2;1;4;1;3;1;0
Non;39;1;2;24;1;1;1;7;1
Non;38;1;2;10;3;2;3;18;1
Non;37;1;2;10;3;2;3;16;6
Non;44;1;2;1;3;1;1;4;1
Oui;29;1;2;1;4;1;3;2;2
Non;42;1;2;2;3;1;3;22;4
Oui;56;1;2;7;2;1;3;10;9
Non;41;1;2;28;4;2;3;20;0
Non;32;1;2;2;3;1;1;4;1
Non;40;1;2;2;4;1;1;2;2
Non;40;1;2;2;4;2;3;5;0
Non;35;1;2;1;4;2;3;4;1
Non;29;1;2;13;2;1;3;4;0
Non;29;1;2;28;4;2;1;5;0
Non;39;1;2;6;1;1;3;7;1
Non;27;1;2;4;3;1;3;6;0
Non;34;1;2;8;3;1;3;4;1
Non;34;0;3;23;4;1;1;9;8
Non;28;0;3;4;3;1;3;5;0
Non;33;0;3;22;2;1;3;7;0
Non;45;0;3;6;3;2;1;19;12
Non;52;0;3;2;4;1;1;33;15
Non;32;0;3;26;4;1;3;3;2
Non;38;0;3;2;2;1;3;8;7
Non;27;0;3;1;1;1;3;5;1
Non;29;0;3;2;3;1;3;4;0
Non;30;0;3;25;2;2;3;2;2
Non;36;0;3;1;5;2;1;1;0
Non;21;0;3;9;2;1;1;3;2
Oui;34;0;3;19;3;1;1;5;0
Non;34;0;3;4;4;2;3;3;1
Non;30;0;3;22;4;2;3;9;7
Non;36;0;3;10;4;1;1;10;9
Non;41;0;3;10;2;1;1;14;1
Non;40;0;3;28;3;1;2;1;0
Non;37;0;3;9;4;1;2;9;7
Oui;32;0;3;11;4;1;3;4;1
Non;36;0;3;8;4;1;1;10;0
Non;37;0;3;19;2;1;1;10;0
Non;31;0;3;20;2;2;3;9;0
Non;38;0;3;10;3;2;1;5;1
Oui;40;0;3;24;3;2;1;1;0
Non;36;0;3;8;4;1;2;7;0
Non;33;0;3;17;3;1;1;10;6
Oui;26;0;3;29;2;1;1;2;2
Non;50;0;3;1;3;2;3;18;0
Non;33;0;3;8;1;2;1;2;2
Non;45;0;3;9;4;2;3;15;4
Non;32;0;3;2;1;2;2;1;0
Non;35;0;3;8;2;2;3;13;4
Non;31;0;3;2;4;2;2;10;9
Non;41;0;3;10;2;1;1;19;11
Non;24;0;3;13;2;2;3;1;0
Non;45;0;3;26;3;1;3;10;4
Non;33;0;3;16;3;2;2;6;1
Non;47;0;3;2;4;1;3;1;0
Non;33;0;3;2;3;2;1;11;1
Non;34;0;3;10;3;1;2;15;0
Non;46;0;3;26;2;1;1;2;2
Non;58;0;3;2;3;1;2;16;14
Non;45;0;3;2;4;2;3;8;5
Non;39;0;3;21;4;2;3;3;1
Non;52;0;3;29;4;1;2;9;0
Non;36;0;3;15;4;1;2;15;11
Non;33;2;3;1;3;2;3;5;1
Non;27;2;3;8;3;1;1;9;1
Non;46;2;3;5;4;1;1;9;0
Non;35;2;3;18;5;1;3;9;1
Non;59;2;3;1;1;2;1;4;1
Non;36;2;3;11;2;2;3;9;2
Non;43;2;3;26;2;1;3;25;4
Non;50;2;3;12;3;2;1;2;2
Non;32;2;3;9;2;1;2;8;0
Non;32;2;3;8;3;2;1;9;3
Non;34;2;3;2;4;2;3;4;1
Oui;19;2;3;1;1;2;1;0;0
Non;27;2;3;20;3;2;1;7;0
Oui;30;2;3;26;4;2;1;6;0
Non;37;2;3;4;4;1;2;9;5
Non;29;2;3;1;1;2;3;11;4
Non;35;2;3;1;3;2;1;10;0
Non;29;2;3;2;2;1;1;10;0
Non;31;2;3;5;3;2;2;2;2
Non;42;2;3;26;3;2;3;20;4
Non;33;2;3;10;3;1;1;7;0
Non;47;2;3;4;1;1;1;0;0
Oui;21;2;3;1;1;2;1;3;1
Non;36;2;3;3;4;1;3;13;1
Oui;41;2;3;4;3;1;1;8;7
Non;56;2;3;6;3;2;3;7;7
Oui;34;2;3;6;2;2;2;2;1
Non;60;2;3;28;3;2;3;18;13
Oui;18;2;3;5;3;1;1;0;0
Non;24;2;3;24;3;1;3;2;2
Oui;30;2;3;12;4;1;3;1;0
Oui;45;2;3;26;4;2;3;1;0
Non;27;2;3;3;1;2;2;6;0
Oui;50;2;3;8;2;1;3;4;1
Non;40;2;3;5;4;1;3;18;1
Non;47;2;3;3;3;2;2;22;11
Non;43;2;3;15;3;1;3;2;2
Oui;47;2;3;27;2;2;1;5;1
Non;27;2;3;8;1;1;3;4;1
Non;32;2;3;5;2;1;3;10;5
Non;37;2;3;21;2;2;3;5;0
Non;26;2;3;1;3;1;1;7;0
Non;29;2;3;20;3;2;3;3;0
Non;53;2;3;2;3;2;3;15;6
Oui;20;2;3;9;3;2;1;2;0
Oui;50;2;3;1;4;1;1;0;0
Non;33;2;3;7;3;2;3;3;0
Non;31;2;3;20;3;1;3;2;2
Non;35;2;3;11;2;1;2;5;0
Oui;42;2;3;12;3;1;1;21;13
Non;40;2;3;2;4;1;3;0;0
Non;33;2;3;25;3;2;3;10;0
Oui;25;2;3;24;1;1;1;1;1
Non;51;2;3;9;3;1;2;29;11
Oui;31;2;3;1;3;2;1;3;2
Non;41;2;3;1;3;2;2;9;1
Non;36;2;3;7;3;2;3;15;6
Non;27;2;3;2;1;1;1;6;0
Oui;31;2;3;2;3;2;1;1;0
Oui;35;2;3;18;4;2;3;4;3
Non;51;2;3;2;3;1;3;4;3
Non;33;2;3;5;1;1;3;5;1
Oui;31;2;3;1;4;2;1;1;0
Non;33;2;3;7;3;1;3;4;0
Non;44;2;3;1;5;2;3;1;0
Oui;28;2;3;1;3;1;3;3;1
Oui;29;2;3;13;3;2;1;5;0
Non;28;2;3;7;3;1;1;4;1
Non;31;2;3;2;4;1;1;5;0
Oui;18;2;3;3;2;2;1;0;0
Oui;35;2;3;12;4;1;1;11;6
Oui;48;2;3;7;2;2;3;9;7
Non;37;2;3;1;4;1;2;6;1
Oui;47;2;3;9;3;1;3;23;14
Non;39;2;3;20;3;1;2;2;2
Non;31;2;3;7;4;2;3;3;2
Non;43;2;3;2;4;1;3;7;7
Non;32;2;3;10;4;1;1;0;0
Non;28;2;3;1;2;1;3;7;0
Oui;29;2;3;24;3;1;1;1;0
Oui;31;2;3;26;4;1;3;10;0
Oui;23;2;3;9;3;1;3;1;1
Oui;50;2;3;1;4;1;2;6;0
Non;49;2;3;2;3;1;3;9;0
Oui;41;1;3;1;2;2;1;6;0
Non;53;1;3;2;4;2;3;25;3
Oui;36;1;3;9;4;1;1;5;0
Non;42;1;3;8;4;1;3;9;4
Non;46;1;3;2;4;2;1;2;2
Oui;39;1;3;5;3;1;3;1;0
Oui;50;1;3;3;2;1;3;3;0
Non;35;1;3;2;3;2;3;2;2
Non;44;1;3;1;5;2;2;4;1
Non;26;1;3;23;3;2;3;2;0
Non;59;1;3;25;3;2;1;21;7
Non;35;1;3;1;4;1;1;15;2
Non;55;1;3;1;2;1;3;1;1
Non;23;1;3;2;1;1;2;0;0
Oui;46;1;3;9;2;1;1;9;4
Non;51;1;3;21;4;1;1;10;1
Non;30;1;3;4;2;2;2;11;2
Non;32;1;3;6;4;1;1;11;5
Non;24;1;3;3;2;2;3;3;0
Non;58;1;3;10;4;1;1;37;1
Oui;25;1;3;5;3;1;1;6;0
Non;37;1;3;3;3;1;1;5;1
Oui;31;1;3;6;4;1;3;7;7
Oui;19;1;3;22;1;1;1;0;0
Oui;31;1;3;20;3;2;3;2;2
Non;41;1;3;9;1;1;2;9;0
Non;39;1;3;4;4;2;3;15;5
Non;25;1;3;28;3;1;3;2;2
Non;35;1;3;1;5;1;3;10;0
Non;53;1;3;6;2;1;3;7;4
Non;40;1;3;4;4;1;3;12;2
Non;30;1;3;5;3;2;3;10;7
Non;38;1;3;1;4;2;1;8;0
Non;45;1;3;4;2;2;2;5;0
Non;46;1;3;1;2;2;2;24;15
Oui;41;1;3;20;2;2;1;4;0
Oui;29;1;3;27;3;2;3;10;1
Oui;32;1;3;4;4;1;3;14;9
Non;41;1;3;6;3;2;1;1;0
Non;54;1;3;3;3;2;3;6;0
Non;38;1;3;3;3;1;2;16;5
Non;50;1;3;1;4;2;2;7;0
Non;43;1;3;16;3;2;3;17;1
Non;32;1;3;4;2;2;3;4;1
Non;29;1;3;20;2;1;2;3;0
Non;46;1;3;2;3;2;3;7;7
Non;29;1;3;2;3;1;3;0;0
Non;37;1;3;6;4;1;3;5;0
Non;38;1;3;7;2;2;2;8;7
Non;42;1;3;1;1;1;3;20;11
Oui;26;1;3;4;4;1;1;8;7
Non;35;1;3;16;3;1;3;11;6
Non;41;1;3;2;4;1;1;22;0
Non;18;1;3;10;3;2;1;0;0
Non;31;1;3;7;3;1;3;8;7
Non;32;1;3;7;3;1;3;13;4
Non;32;1;3;8;2;2;3;13;11
Non;27;1;3;2;3;1;1;5;0
Non;31;1;3;7;3;1;2;7;1
Oui;39;1;3;3;2;2;3;1;0
Non;40;1;3;1;2;1;3;4;0
Non;30;1;3;5;3;2;2;10;1
Non;27;1;3;8;4;2;3;8;0
Non;29;1;3;10;1;2;2;7;1
Non;48;1;3;29;1;2;3;0;0
Non;26;1;3;1;3;1;3;8;7
Oui;33;1;3;5;3;2;1;1;0
Oui;40;1;3;22;2;1;3;6;1
Oui;21;1;3;12;3;2;1;1;0
Non;28;1;3;9;4;1;1;7;0
Non;51;1;3;14;2;2;3;7;0
Non;24;1;3;10;4;2;2;5;0
Non;30;1;3;2;1;1;3;1;0
Non;36;1;3;2;2;1;3;10;9
Non;40;1;3;2;2;2;2;5;1
Non;25;1;3;4;2;2;1;5;1
Non;30;1;3;12;3;2;1;5;4
Non;41;1;3;1;3;1;3;10;0
Oui;24;1;3;1;1;2;1;5;1
Non;40;1;3;2;4;2;3;20;1
Non;57;1;3;29;3;1;2;1;0
Non;46;1;3;10;3;2;3;3;1
Non;30;1;3;7;1;1;1;3;1
Non;48;1;3;2;5;2;3;9;6
Non;55;1;3;18;5;2;1;10;7
Non;35;1;3;1;3;1;3;11;6
Non;31;1;3;2;1;1;1;6;0
Non;45;1;3;2;3;1;3;8;3
Non;31;1;3;7;3;1;2;5;0
Non;26;1;3;29;2;1;2;0;0
Non;35;1;3;1;3;2;1;5;0
Non;34;1;3;21;4;1;1;10;5
Non;41;1;3;2;5;2;3;18;11
Non;26;1;3;28;2;1;3;5;1
Non;25;1;3;13;1;1;3;7;0
Oui;31;1;3;13;4;1;2;3;1
Non;31;1;3;6;4;1;2;7;5
Non;37;1;3;2;3;1;3;3;1
Non;34;1;3;14;3;2;2;8;0
Oui;27;1;3;2;1;1;2;4;0
Non;21;1;3;22;1;1;1;3;1
Non;33;1;3;8;4;1;2;5;1
Non;53;1;3;1;1;2;1;14;8
Non;29;1;3;3;2;2;3;6;1
Non;25;1;3;8;3;1;3;3;1
Non;38;1;3;7;4;2;1;7;0
Non;48;1;3;2;1;1;3;2;2
Oui;24;1;3;3;2;2;1;2;2
Non;32;1;3;10;3;1;1;10;0
Non;47;1;3;14;4;1;1;7;1
Non;60;1;3;16;4;1;1;2;2
Non;50;1;3;8;4;1;3;2;2
Non;30;1;3;27;5;1;2;8;7
Non;29;1;3;10;3;1;1;1;0
Non;29;1;3;10;3;1;2;2;2
Non;52;1;3;3;4;1;3;34;1
Non;25;1;3;26;1;2;1;6;1
Non;45;1;3;2;2;1;1;8;3
Non;34;1;3;2;3;1;1;6;1
Oui;26;1;3;8;3;1;1;4;1
Non;35;1;3;8;4;2;3;3;0
Non;34;1;3;8;2;2;3;3;1
Oui;33;1;3;16;3;2;1;3;0
Oui;49;1;3;11;3;2;3;9;7
Oui;55;1;3;2;1;1;1;9;7
Non;28;1;3;2;4;2;3;8;7
Non;51;1;3;26;4;2;3;20;4
Non;33;1;3;1;3;1;2;9;0
Non;36;1;3;1;2;1;3;18;4
Non;32;1;3;13;4;1;2;5;0
Non;53;1;3;7;2;2;3;5;0
Non;45;1;3;9;3;1;2;5;0
Non;37;1;3;16;4;1;2;1;0
Non;25;1;3;3;1;1;3;5;0
Non;25;1;3;4;1;1;3;5;0
Non;38;1;3;9;3;1;3;2;1
Oui;29;1;3;1;3;2;2;3;0
Non;53;1;3;8;3;1;3;2;2
Non;47;1;3;2;2;2;3;7;7
Non;28;1;3;5;4;1;1;4;0
Oui;20;1;3;2;3;2;1;2;0
Non;47;1;3;2;4;2;1;3;1
Non;42;1;3;14;2;2;1;5;0
Non;31;1;3;7;4;1;3;7;5
Oui;25;1;3;19;2;1;3;1;0
Non;40;1;3;10;4;1;2;1;0
Oui;19;1;3;21;3;1;1;1;0
Oui;36;1;3;3;1;1;3;16;3
Oui;37;1;3;1;4;1;3;14;11
Non;35;1;3;18;3;2;3;5;1
Non;53;1;3;2;2;1;2;17;15
Non;30;1;3;8;2;1;2;8;7
Non;35;1;3;3;4;1;2;10;0
Non;39;1;3;2;5;1;1;8;0
Non;47;1;3;4;2;2;1;9;0
Non;42;1;3;5;2;1;3;1;0
Non;38;1;3;3;4;1;1;1;0
Oui;52;1;3;2;1;2;3;32;6
